"","Commodity Group","Commodity Group Code","Originated","Received","Year","Week","Company"
"387","Motor Vehicles & Equipment","M",2355,5667,2025,2025-11-05,"UP"
"388","Nonmetallic Minerals","N",1204,197,2025,2025-11-05,"UP"
"389","Petroleum Products","O",3390,1758,2025,2025-11-05,"UP"
"390","Primary Forest Products","P",412,170,2025,2025-11-05,"UP"
"391","Pulp & Paper Products","Q",764,898,2025,2025-11-05,"UP"
"392","Stone, Clay, Glass","R",2539,602,2025,2025-11-05,"UP"
"393","Waste & Other Scrap","S",567,278,2025,2025-11-05,"UP"
"394","All Other","T",3102,1221,2025,2025-11-05,"UP"
"395","Containers","U",61114,10120,2025,2025-11-05,"UP"
"396","Trailers","V",1233,6,2025,2025-11-05,"UP"
"397","Chemicals","A",17938,3630,2025,2025-10-29,"UP"
"398","Coal","B",13983,176,2025,2025-10-29,"UP"
"399","Coke","C",564,113,2025,2025-10-29,"UP"
"400","Crushed Stone, Sand & Gravel","D",9050,63,2025,2025-10-29,"UP"
"401","Farm Products","E",263,82,2025,2025-10-29,"UP"
"402","Food & Kindred Products","F",2707,1533,2025,2025-10-29,"UP"
"403","Grain Mill Products","G",4163,484,2025,2025-10-29,"UP"
"404","Grain","H",6233,1584,2025,2025-10-29,"UP"
"405","Iron & Steel Scrap","I",948,102,2025,2025-10-29,"UP"
"406","Lumber & Wood Products","J",1175,463,2025,2025-10-29,"UP"
"407","Metallic Ores","K",226,70,2025,2025-10-29,"UP"
"408","Metal Products","L",1055,1399,2025,2025-10-29,"UP"
"409","Motor Vehicles & Equipment","M",2264,5484,2025,2025-10-29,"UP"
"410","Nonmetallic Minerals","N",1004,173,2025,2025-10-29,"UP"
"411","Petroleum Products","O",2958,1804,2025,2025-10-29,"UP"
